episode,reward,steps,success,epsilon,invalid_moves,loss
1,-768,200,0,0.995,61,2.317049599041904
2,-732,200,0,0.990025,58,1.3969897152483464
3,-741,200,0,0.985074875,58,0.4069395445752889
4,-912,200,0,0.9801495006250001,77,0.2864366303104907
5,-876,200,0,0.9752487531218751,73,0.1692568819830194
6,-966,200,0,0.9703725093562657,83,0.16765793205588125
7,-876,200,0,0.9655206468094844,74,0.14677479990874417
8,-777,200,0,0.960693043575437,63,0.06775881835666951
9,-966,200,0,0.9558895783575597,84,0.06757398066212772
10,-867,200,0,0.9511101304657719,73,0.08660377166175749
11,-921,200,0,0.946354579813443,79,0.0703359404829098
12,-822,200,0,0.9416228069143757,68,0.07114242054929491
13,-831,200,0,0.9369146928798039,68,0.05522742630826542
14,-714,200,0,0.9322301194154049,55,0.06341514027211816
15,-660,200,0,0.9275689688183278,50,0.06894486336052069
16,-849,200,0,0.9229311239742362,70,0.07963345921365544
17,-597,200,0,0.918316468354365,42,0.07240386181219946
18,-741,200,0,0.9137248860125932,59,0.07244544389017392
19,-732,200,0,0.9091562615825302,57,0.0668465207371628
20,-678,200,0,0.9046104802746175,52,0.07189458192980965
21,-552,200,0,0.9000874278732445,37,0.0893811792935594
22,-777,200,0,0.8955869907338783,62,0.06718587555820704
23,-786,200,0,0.8911090557802088,64,0.08139034947729669
24,-921,200,0,0.8866535105013078,79,0.07213192647497635
25,-723,200,0,0.8822202429488013,56,0.09207929436059203
26,-723,200,0,0.8778091417340573,56,0.08610020813386654
27,-696,200,0,0.8734200960253871,53,0.08271398376935395
28,-768,200,0,0.8690529955452602,61,0.0718666115796077
29,-705,200,0,0.8647077305675338,54,0.07779759814133286
30,-642,200,0,0.8603841919146962,48,0.057759497006190944
31,-678,200,0,0.8560822709551227,51,0.06570591848096229
32,-858,200,0,0.851801859600347,72,0.07392346817752696
33,-804,200,0,0.8475428503023453,66,0.08174718698399375
34,-678,200,0,0.8433051360508336,52,0.05724821572046494
35,-525,200,0,0.8390886103705794,34,0.05708024610663415
36,-633,200,0,0.8348931673187264,46,0.0654789840860758
37,-885,200,0,0.8307187014821328,74,0.04718784953205613
38,-606,200,0,0.8265651079747222,43,0.06810453975296696
39,-687,200,0,0.8224322824348486,53,0.08119682529388228
40,-561,200,0,0.8183201210226743,38,0.06467448230279843
41,-714,200,0,0.8142285204175609,56,0.08053817440959392
42,-741,200,0,0.810157377815473,58,0.06183093546875171
43,-660,200,0,0.8061065909263957,49,0.06312458401051117
44,-642,200,0,0.8020760579717637,47,0.059265989027335306
45,-669,200,0,0.798065677681905,51,0.05735307933537115
46,-669,200,0,0.7940753492934954,51,0.07860078278637957
47,-840,200,0,0.7901049725470279,69,0.05958817241888028
48,-579,185,1,0.7861544476842928,55,0.08302457932527554
49,-651,200,0,0.7822236754458713,48,0.08863886091363384
50,-678,200,0,0.778312557068642,51,0.0712170622983831
51,-705,200,0,0.7744209942832988,54,0.1192291305816616
52,-759,200,0,0.7705488893118823,61,0.05629836693100515
53,-696,200,0,0.7666961448653229,53,0.07751346211036435
54,-335,148,1,0.7628626641409962,32,0.08189575614351025
55,-615,200,0,0.7590483508202912,45,0.08079416365217185
56,-597,200,0,0.7552531090661897,42,0.10762633339909371
57,-489,200,0,0.7514768435208588,30,0.09684748991683591
58,-570,200,0,0.7477194593032545,40,0.11141473992116517
59,-597,200,0,0.7439808620067382,42,0.08514053867489565
60,-642,200,0,0.7402609576967045,48,0.07548955312231556
61,-651,200,0,0.736559652908221,48,0.09194526629304164
62,-642,200,0,0.7328768546436799,47,0.10631312080586212
63,-732,200,0,0.7292124703704616,57,0.09015963265293976
64,-579,200,0,0.7255664080186093,40,0.053958501718298066
65,-615,200,0,0.7219385759785162,44,0.09485778085538187
66,-606,200,0,0.7183288830986236,43,0.11751823344267905
67,-543,200,0,0.7147372386831305,36,0.0898258590164187
68,-687,200,0,0.7111635524897149,53,0.08492747346928808
69,-642,200,0,0.7076077347272662,47,0.08293806618923555
70,-375,170,1,0.7040696960536299,34,0.06722693813841461
71,-606,200,0,0.7005493475733617,43,0.07385219699004665
72,-714,200,0,0.697046600835495,55,0.08301649047411047
73,-687,200,0,0.6935613678313175,52,0.06517652647744399
74,-606,200,0,0.6900935609921609,43,0.08498926658066921
75,-624,200,0,0.6866430931872001,45,0.10944729154842207
76,-513,191,1,0.6832098777212641,47,0.0822814609978838
77,-633,200,0,0.6797938283326578,46,0.1080850546772126
78,-561,200,0,0.6763948591909945,38,0.1307499403010297
79,-723,200,0,0.6730128848950395,56,0.09865078256116248
80,-570,200,0,0.6696478204705644,39,0.09340776187586015
81,-615,200,0,0.6662995813682115,45,0.1301090768055292
82,-615,200,0,0.6629680834613705,44,0.09692282054602401
83,-651,200,0,0.6596532430440636,48,0.08663886349357199
84,-489,200,0,0.6563549768288433,30,0.07761389972671168
85,-516,200,0,0.653073201944699,33,0.11194259385112673
86,-687,200,0,0.6498078359349755,52,0.07297801713677472
87,-543,200,0,0.6465587967553006,36,0.10706037553216446
88,-678,200,0,0.6433260027715241,52,0.1096834861903335
89,-507,200,0,0.6401093727576664,32,0.1122034123026242
90,-624,200,0,0.6369088258938781,45,0.1369933571686852
91,-606,200,0,0.6337242817644086,43,0.08939856673183386
92,-570,200,0,0.6305556603555866,39,0.08861849686392816
93,-147,104,1,0.6274028820538087,16,0.09487998508064685
94,-624,200,0,0.6242658676435396,45,0.09944046859338414
95,-561,200,0,0.6211445383053219,38,0.08014966191898566
96,-516,200,0,0.6180388156137953,33,0.08528304464998655
97,-579,200,0,0.6149486215357263,40,0.08412610094004776
98,-588,200,0,0.6118738784280476,41,0.10451448780644569
99,-669,200,0,0.6088145090359074,50,0.12886133247055112
100,-507,200,0,0.6057704364907278,32,0.1283104325653403
101,-597,200,0,0.6027415843082742,43,0.09677703706838656
102,-543,200,0,0.5997278763867329,36,0.11209290741797304
103,-223,108,1,0.5967292370047992,24,0.1501693856186682
104,-435,200,0,0.5937455908197752,24,0.11458110004256014
105,-615,200,0,0.5907768628656763,44,0.12988694457657401
106,-588,200,0,0.5878229785513479,41,0.09067292450810782
107,-295,117,1,0.5848838636585911,31,0.11731516351648726
108,-175,87,1,0.5819594443402982,21,0.13308178510345603
109,-39,50,1,0.5790496471185967,10,0.09543441991321742
110,-233,136,1,0.5761543988830038,22,0.13877661646170858
111,-489,200,0,0.5732736268885887,30,0.14392852550197857
112,-480,200,0,0.5704072587541458,29,0.15648285332456
113,-489,200,0,0.567555222460375,30,0.09338158915488748
114,-462,200,0,0.5647174463480732,27,0.12262034336483339
115,-516,200,0,0.5618938591163328,33,0.1055330785625847
116,-181,111,1,0.5590843898207511,19,0.0998527870030008
117,-543,200,0,0.5562889678716474,36,0.11814191158584436
118,-570,200,0,0.5535075230322891,39,0.13466589164527248
119,-291,167,1,0.5507399854171277,25,0.12057513411855325
120,-543,200,0,0.547986285490042,36,0.11857834712893237
121,-65,49,1,0.5452463540625918,13,0.2770464495014475
122,-39,50,1,0.5425201222922789,10,0.2455721649900079
123,-480,200,0,0.5398075216808175,29,0.17906024301075377
124,-69,71,1,0.5371084840724134,11,0.216830372898905
125,-213,125,1,0.5344229416520513,21,0.16899198018200695
126,-225,119,1,0.531750826943791,23,0.1442126202203349
127,-377,172,1,0.5290920728090721,34,0.16243906124213406
