episode,reward,steps,success,epsilon,invalid_moves
1,-623,100,0,0.995,56
2,-569,100,0,0.990025,50
3,-707,103,0,0.985074875,65
4,-642,101,0,0.9801495006250001,58
5,-305,73,1,0.9752487531218751,37
6,-407,100,0,0.9703725093562657,32
7,21,26,1,0.9655206468094844,6
8,-608,103,0,0.960693043575437,54
9,-492,104,0,0.9558895783575597,41
10,-444,101,0,0.9511101304657719,36
11,-25,36,1,0.946354579813443,10
12,-491,103,0,0.9416228069143757,41
13,-197,82,1,0.9369146928798039,24
14,-650,100,0,0.9322301194154049,59
15,-632,100,0,0.9275689688183278,57
16,-309,86,1,0.9229311239742362,36
17,-479,100,0,0.918316468354365,40
18,-271,75,1,0.9137248860125932,33
19,-301,87,1,0.9091562615825302,35
20,-179,55,1,0.9046104802746175,25
21,-65,40,1,0.9000874278732445,14
22,-39,32,1,0.8955869907338783,12
23,-551,100,0,0.8911090557802088,48
24,-267,80,1,0.8866535105013078,32
25,-183,50,1,0.8822202429488013,26
26,-147,68,1,0.8778091417340573,20
27,-171,83,1,0.8734200960253871,21
28,9,20,1,0.8690529955452602,8
29,-263,94,1,0.8647077305675338,30
30,-201,77,1,0.8603841919146962,25
31,-341,91,1,0.8560822709551227,39
32,-79,36,1,0.851801859600347,16
33,-283,78,1,0.8475428503023453,34
34,-127,48,1,0.8433051360508336,20
35,-147,59,1,0.8390886103705794,21
36,-67,33,1,0.8348931673187264,15
37,-327,77,1,0.8307187014821328,39
38,-15,35,1,0.8265651079747222,9
39,1,28,1,0.8224322824348486,8
40,-75,41,1,0.8183201210226743,15
41,-309,86,1,0.8142285204175609,36
42,-29,40,1,0.810157377815473,10
43,-43,36,1,0.8061065909263957,12
44,-1,39,1,0.8020760579717637,7
45,3,35,1,0.798065677681905,7
46,-69,53,1,0.7940753492934954,13
47,-127,48,1,0.7901049725470279,20
48,-95,43,1,0.7861544476842928,17
49,57,17,1,0.7822236754458713,3
50,-127,66,1,0.778312557068642,18
51,-3,23,1,0.7744209942832988,9
52,-47,40,1,0.7705488893118823,12
53,-37,48,1,0.7666961448653229,10
54,-3,41,1,0.7628626641409962,7
55,-63,38,1,0.7590483508202912,14
56,-31,33,1,0.7552531090661897,11
57,-157,69,1,0.7514768435208588,21
58,-21,41,1,0.7477194593032545,9
59,-97,45,1,0.7439808620067382,17
60,-21,41,1,0.7402609576967045,9
61,-1,30,1,0.736559652908221,8
62,-89,64,1,0.7328768546436799,14
63,-15,26,1,0.7292124703704616,10
64,-21,32,1,0.7255664080186093,10
65,-17,37,1,0.7219385759785162,9
66,-109,48,1,0.7183288830986236,18
67,-157,78,1,0.7147372386831305,20
68,31,25,1,0.7111635524897149,5
69,17,21,1,0.7076077347272662,7
70,-145,66,1,0.7040696960536299,20
71,-27,38,1,0.7005493475733617,10
72,-15,26,1,0.697046600835495,10
73,-31,33,1,0.6935613678313175,11
74,71,12,1,0.6900935609921609,2
75,-123,53,1,0.6866430931872001,19
76,29,27,1,0.6832098777212641,5
77,-29,40,1,0.6797938283326578,10
78,35,21,1,0.6763948591909945,5
79,55,19,1,0.6730128848950395,3
80,7,31,1,0.6696478204705644,7
81,-161,73,1,0.6662995813682115,21
82,35,21,1,0.6629680834613705,5
83,51,14,1,0.6596532430440636,4
84,19,37,1,0.6563549768288433,5
85,-55,30,1,0.653073201944699,14
86,-145,57,1,0.6498078359349755,21
87,57,26,1,0.6465587967553006,2
88,-21,32,1,0.6433260027715241,10
89,55,19,1,0.6401093727576664,3
90,-57,50,1,0.6369088258938781,12
91,11,27,1,0.6337242817644086,7
92,37,19,1,0.6305556603555866,5
93,77,15,1,0.6274028820538087,1
94,-23,25,1,0.6242658676435396,11
95,-49,42,1,0.6211445383053219,12
96,63,20,1,0.6180388156137953,2
97,65,18,1,0.6149486215357263,2
98,-93,50,1,0.6118738784280476,16
99,-35,37,1,0.6088145090359074,11
100,71,21,1,0.6057704364907278,1
101,5,24,1,0.6027415843082742,8
102,13,25,1,0.5997278763867329,7
103,-103,42,1,0.5967292370047992,18
104,31,25,1,0.5937455908197752,5
105,47,18,1,0.5907768628656763,4
106,-27,29,1,0.5878229785513479,11
107,25,22,1,0.5848838636585911,6
108,33,23,1,0.5819594443402982,5
109,39,26,1,0.5790496471185967,4
110,7,22,1,0.5761543988830038,8
111,41,15,1,0.5732736268885887,5
112,-21,32,1,0.5704072587541458,10
113,-5,25,1,0.567555222460375,9
114,45,20,1,0.5647174463480732,4
115,25,22,1,0.5618938591163328,6
116,-33,35,1,0.5590843898207511,11
117,91,10,1,0.5562889678716474,0
118,57,17,1,0.5535075230322891,3
119,-99,38,1,0.5507399854171277,18
120,65,18,1,0.547986285490042,2
121,41,24,1,0.5452463540625918,4
122,-81,56,1,0.5425201222922789,14
123,63,20,1,0.5398075216808175,2
124,49,16,1,0.5371084840724134,4
125,-7,36,1,0.5344229416520513,8
126,35,30,1,0.531750826943791,4
127,77,15,1,0.5290920728090721,1
128,7,31,1,0.5264466124450268,7
129,71,12,1,0.5238143793828016,2
130,45,29,1,0.5211953074858876,3
