episode,reward,steps,success,epsilon,invalid_moves
1,-741,200,0,0.995,58
2,-409,150,1,0.990025,40
3,-849,200,0,0.985074875,70
4,-1004,202,0,0.9801495006250001,87
5,-867,200,0,0.9752487531218751,72
6,-841,201,0,0.9703725093562657,69
7,-705,200,0,0.9655206468094844,54
8,-842,202,0,0.960693043575437,69
9,-854,205,0,0.9558895783575597,70
10,-858,200,0,0.9511101304657719,71
11,-349,126,1,0.946354579813443,36
12,-750,200,0,0.9416228069143757,59
13,-417,104,1,0.9369146928798039,46
14,-876,200,0,0.9322301194154049,73
15,-843,203,0,0.9275689688183278,69
16,-696,200,0,0.9229311239742362,53
17,-867,200,0,0.918316468354365,72
18,-57,68,1,0.9137248860125932,10
19,-479,157,1,0.9091562615825302,47
20,-787,201,0,0.9046104802746175,63
21,-678,200,0,0.9000874278732445,51
22,-687,200,0,0.8955869907338783,52
23,-939,200,0,0.8911090557802088,80
24,-849,200,0,0.8866535105013078,70
25,-137,67,1,0.8822202429488013,19
26,-377,172,1,0.8778091417340573,34
27,-741,200,0,0.8734200960253871,58
28,-849,200,0,0.8690529955452602,70
29,-705,200,0,0.8647077305675338,54
30,-429,134,1,0.8603841919146962,44
31,-786,200,0,0.8560822709551227,63
32,-411,143,1,0.851801859600347,41
33,-732,200,0,0.8475428503023453,57
34,-297,119,1,0.8433051360508336,31
35,-769,201,0,0.8390886103705794,61
36,-485,181,1,0.8348931673187264,45
37,-867,200,0,0.8307187014821328,72
38,-750,200,0,0.8265651079747222,59
39,-733,201,0,0.8224322824348486,57
40,-759,200,0,0.8183201210226743,60
41,-633,200,0,0.8142285204175609,46
42,-669,200,0,0.810157377815473,50
43,-427,141,1,0.8061065909263957,43
44,-357,161,1,0.8020760579717637,33
45,-840,200,0,0.798065677681905,69
46,-606,200,0,0.7940753492934954,43
47,-840,200,0,0.7901049725470279,69
48,-117,65,1,0.7861544476842928,17
49,-175,87,1,0.7822236754458713,21
50,-689,202,0,0.778312557068642,52
51,-53,55,1,0.7744209942832988,11
52,-135,74,1,0.7705488893118823,18
53,-55,57,1,0.7666961448653229,11
