episode,reward,steps,success,epsilon,invalid_moves
1,-675,152,0,0.995,56
2,-435,140,1,0.990025,44
3,-709,150,0,0.985074875,60
4,-754,150,0,0.9801495006250001,65
5,-750,155,0,0.9752487531218751,64
6,-7,36,1,0.9703725093562657,8
7,-610,150,0,0.9655206468094844,49
8,-584,151,0,0.960693043575437,46
9,-611,151,0,0.9558895783575597,49
10,-646,150,0,0.9511101304657719,53
11,-147,68,1,0.946354579813443,20
12,-574,150,0,0.9416228069143757,45
13,-604,153,0,0.9369146928798039,48
14,-703,153,0,0.9322301194154049,59
15,-648,152,0,0.9275689688183278,53
16,-584,151,0,0.9229311239742362,46
17,-577,153,0,0.918316468354365,45
18,-774,152,0,0.9137248860125932,67
19,-311,106,1,0.9091562615825302,34
20,-619,150,0,0.9046104802746175,50
21,-349,144,1,0.9000874278732445,34
22,-547,150,0,0.8955869907338783,42
23,-401,133,1,0.8911090557802088,41
24,-67,51,1,0.8866535105013078,13
25,-557,151,0,0.8822202429488013,43
26,-673,150,0,0.8778091417340573,56
27,9,29,1,0.8734200960253871,7
28,-449,151,0,0.8690529955452602,31
29,-691,150,0,0.8647077305675338,58
30,-311,106,1,0.8603841919146962,34
31,-67,51,1,0.8560822709551227,13
32,-575,151,0,0.851801859600347,45
33,-249,80,1,0.8475428503023453,30
34,-529,150,0,0.8433051360508336,40
35,-646,150,0,0.8390886103705794,53
36,-592,150,0,0.8348931673187264,47
37,-484,150,0,0.8307187014821328,35
38,-401,124,1,0.8265651079747222,42
39,-592,150,0,0.8224322824348486,47
40,-237,95,1,0.8183201210226743,27
41,-221,106,1,0.8142285204175609,24
42,-592,150,0,0.810157377815473,47
43,-53,55,1,0.8061065909263957,11
44,-97,63,1,0.8020760579717637,15
45,-25,36,1,0.798065677681905,10
46,-575,151,0,0.7940753492934954,45
47,-295,108,1,0.7901049725470279,32
48,-75,59,1,0.7861544476842928,13
49,-91,57,1,0.7822236754458713,15
50,-529,150,0,0.778312557068642,40
51,-147,77,1,0.7744209942832988,19
52,-95,61,1,0.7705488893118823,15
53,-637,150,0,0.7666961448653229,52
54,27,29,1,0.7628626641409962,5
55,39,26,1,0.7590483508202912,4
56,-45,47,1,0.7552531090661897,11
57,-11,31,1,0.7514768435208588,9
58,13,34,1,0.7477194593032545,6
59,-19,39,1,0.7439808620067382,9
60,-664,150,0,0.7402609576967045,55
