episode,reward,steps,success,epsilon,invalid_moves,loss
1,-632,100,0,0.995,58,5.077344572221911
2,-542,100,0,0.990025,47,3.297959370613098
3,-542,100,0,0.985074875,47,2.720468467473984
4,-632,100,0,0.9801495006250001,57,1.3055760198831559
5,-623,100,0,0.9752487531218751,56,0.6250955522060394
6,-389,100,0,0.9703725093562657,30,0.2805716579873115
7,-139,69,1,0.9655206468094844,19,0.18730133200955132
8,-488,100,0,0.960693043575437,41,0.3119291040394455
9,-479,100,0,0.9558895783575597,40,0.33701185712590814
10,-542,100,0,0.9511101304657719,47,0.23216793274041264
11,-596,100,0,0.946354579813443,54,0.3073383075406309
12,-632,100,0,0.9416228069143757,57,0.24877601749147288
13,-479,100,0,0.9369146928798039,40,0.25449368986533955
14,-265,78,1,0.9322301194154049,32,0.1966772508308984
15,-551,100,0,0.9275689688183278,48,0.31189742108632346
16,-331,99,1,0.9229311239742362,37,0.24705132634632967
17,-497,100,0,0.918316468354365,43,0.34224900345900094
18,-524,100,0,0.9137248860125932,46,0.34206991211336574
19,-560,100,0,0.9091562615825302,50,0.26038150748994665
20,-362,100,0,0.9046104802746175,27,0.2432787634374108
21,-217,75,1,0.9000874278732445,27,0.3692450764294093
22,-533,100,0,0.8955869907338783,46,0.2724348511127755
23,-614,100,0,0.8911090557802088,56,0.34942877626279367
24,-515,100,0,0.8866535105013078,45,0.3102133437542943
25,49,16,1,0.8822202429488013,4,0.4475141547009116
26,-193,78,1,0.8778091417340573,24,0.16974945181610587
27,-452,100,0,0.8734200960253871,37,0.2936116552638123
28,-461,100,0,0.8690529955452602,38,0.3240897825639695
29,-506,100,0,0.8647077305675338,43,0.23243828679667786
30,-131,61,1,0.8603841919146962,19,0.1887225674381327
31,-461,100,0,0.8560822709551227,38,0.2239365332236048
32,-524,100,0,0.851801859600347,46,0.18394122682511807
33,-470,100,0,0.8475428503023453,40,0.1343397656554589
34,-560,100,0,0.8433051360508336,50,0.1060725225659553
35,-389,100,0,0.8390886103705794,31,0.13938380753214005
