episode,reward,steps,success,epsilon,invalid_moves,loss
1,-601,150,0,0.995,49,2.3447753328016434
2,-736,150,0,0.990025,64,2.3598000383377076
3,-493,150,0,0.985074875,36,0.8770442420244217
4,-475,150,0,0.9801495006250001,35,0.2813226551624636
5,-682,150,0,0.9752487531218751,57,0.13438186028351387
6,-691,150,0,0.9703725093562657,58,0.08489223112779049
7,-341,136,1,0.9655206468094844,34,0.09604472225692007
8,-763,150,0,0.960693043575437,67,0.21330681391293183
9,-583,150,0,0.9558895783575597,46,0.18079597808265438
10,-601,150,0,0.9511101304657719,49,0.1365206667385064
11,-637,150,0,0.946354579813443,53,0.1793347709645362
12,-655,150,0,0.9416228069143757,54,0.15193726338096894
13,-619,150,0,0.9369146928798039,50,0.19522437932202594
14,-311,124,1,0.9322301194154049,32,0.15476518495157623
15,-727,150,0,0.9275689688183278,63,0.16897973159172883
16,-217,75,1,0.9229311239742362,27,0.126882306636932
17,-628,150,0,0.918316468354365,52,0.1950689404082368
18,-520,150,0,0.9137248860125932,39,0.22542412790547436
19,-628,150,0,0.9091562615825302,51,0.20190832520485855
20,-205,90,1,0.9046104802746175,24,0.20693478982882677
21,-664,150,0,0.9000874278732445,55,0.27362922453554345
22,-289,111,1,0.8955869907338783,31,0.1754104540890989
23,-781,150,0,0.8911090557802088,69,0.24757775410776958
24,-297,137,1,0.8866535105013078,29,0.16707612054055407
25,-637,150,0,0.8822202429488013,53,0.2599058119318215
26,-556,150,0,0.8778091417340573,44,0.20455402331155104
27,-439,150,0,0.8734200960253871,31,0.1785591784697802
28,-691,150,0,0.8690529955452602,58,0.23489496470429003
29,-511,150,0,0.8647077305675338,39,0.19234461890145516
30,-556,150,0,0.8603841919146962,43,0.22499475966052462
31,-610,150,0,0.8560822709551227,49,0.19651827193641414
32,-565,150,0,0.851801859600347,44,0.22018769213580527
33,-37,57,1,0.8475428503023453,9,0.17438795433886217
34,-511,150,0,0.8433051360508336,38,0.2165464508680937
35,-610,150,0,0.8390886103705794,49,0.2013067400866809
36,-547,150,0,0.8348931673187264,42,0.19266599444982907
37,-583,150,0,0.8307187014821328,47,0.18387065466842614
38,-574,150,0,0.8265651079747222,45,0.2079168533634705
39,-610,150,0,0.8224322824348486,49,0.13807685779718062
40,-601,150,0,0.8183201210226743,48,0.17738810897416746
41,-493,150,0,0.8142285204175609,36,0.30314331291165825
42,-583,150,0,0.810157377815473,46,0.22350110374080637
43,-592,150,0,0.8061065909263957,47,0.17347805731619398
44,-529,150,0,0.8020760579717637,40,0.2210823614980715
45,-484,150,0,0.798065677681905,35,0.17848809749586508
46,-219,95,1,0.7940753492934954,25,0.17598510501220038
47,-493,150,0,0.7901049725470279,36,0.14111156286206097
48,-547,150,0,0.7861544476842928,43,0.15202786722686143
49,-529,150,0,0.7822236754458713,41,0.1651995121066769
50,-59,43,1,0.778312557068642,13,0.16198664786683958
51,-691,150,0,0.7744209942832988,58,0.14853520318244895
52,-115,72,1,0.7705488893118823,16,0.0921936970941412
53,-157,114,1,0.7666961448653229,16,0.1133128063254908
54,-556,150,0,0.7628626641409962,43,0.1235829945684721
55,-475,150,0,0.7590483508202912,35,0.12231611002702265
56,-187,108,1,0.7552531090661897,20,0.09874504425399075
57,-529,150,0,0.7514768435208588,41,0.12589361783815547
58,-431,136,1,0.7477194593032545,44,0.13869326733744375
59,-385,150,0,0.7439808620067382,24,0.13067517548489074
60,-592,150,0,0.7402609576967045,48,0.10345455803054696
61,-592,150,0,0.736559652908221,47,0.6128001821010063
62,-291,131,1,0.7328768546436799,29,0.413082665921978
63,-574,150,0,0.7292124703704616,45,0.378213411004593
64,-547,150,0,0.7255664080186093,43,0.3275941796942304
65,-457,150,0,0.7219385759785162,32,0.23470873188227415
66,-520,150,0,0.7183288830986236,39,0.23131907105756302
67,-520,150,0,0.7147372386831305,39,0.19784561874344944
68,-53,37,1,0.7111635524897149,13,0.2211291112786008
69,-664,150,0,0.7076077347272662,56,0.16285814600375792
70,-466,150,0,0.7040696960536299,33,0.1677504684124142
71,-520,150,0,0.7005493475733617,39,0.13818360530926535
72,-511,150,0,0.697046600835495,38,0.14623508971106883
73,-655,150,0,0.6935613678313175,55,0.115531017940181
74,-249,89,1,0.6900935609921609,29,0.11495440054077948
75,-475,150,0,0.6866430931872001,34,0.12145984700492894
76,-466,150,0,0.6832098777212641,33,0.11040809065802022
77,-457,150,0,0.6797938283326578,32,0.12011509559854555
78,-313,135,1,0.6763948591909945,31,0.0978543365835557
79,-547,150,0,0.6730128848950395,42,0.08734929446208602
80,-538,150,0,0.6696478204705644,41,0.10321763047870869
81,-385,150,0,0.6662995813682115,25,0.6680661637553325
82,-421,150,0,0.6629680834613705,29,0.41627040480573974
83,-1,39,1,0.6596532430440636,7,0.43535344955774075
84,-547,150,0,0.6563549768288433,43,0.2778571414501251
85,-529,150,0,0.653073201944699,40,0.3890554558920364
86,-529,150,0,0.6498078359349755,41,0.33053704087932906
87,-183,113,1,0.6465587967553006,19,0.29728746497014585
88,-502,150,0,0.6433260027715241,38,0.21999681395245715
89,-89,73,1,0.6401093727576664,13,0.2519761075677146
90,-457,150,0,0.6369088258938781,33,0.18321181135873
91,-448,150,0,0.6337242817644086,31,0.22812278871269276
92,-520,150,0,0.6305556603555866,40,0.17220611376532663
93,-187,99,1,0.6274028820538087,21,0.16690687999609066
94,-538,150,0,0.6242658676435396,41,0.13716736894488957
95,-421,150,0,0.6211445383053219,29,0.1443855171953328
96,11,45,1,0.6180388156137953,5,0.11937151302893957
97,-403,150,0,0.6149486215357263,26,0.15589689972655227
98,-511,150,0,0.6118738784280476,38,0.17797879686346277
99,-383,142,1,0.6088145090359074,38,0.14239467583140883
100,-439,150,0,0.6057704364907278,31,0.15698416753439232
101,-466,150,0,0.6027415843082742,33,0.5913396093963335
102,-412,150,0,0.5997278763867329,27,0.33057527949567883
103,-412,150,0,0.5967292370047992,27,0.3971374762384221
104,-385,150,0,0.5937455908197752,24,0.3037304337089881
105,-1,48,1,0.5907768628656763,6,0.33687551569892094
106,-5,52,1,0.5878229785513479,6,0.33664797821368736
107,-565,150,0,0.5848838636585911,44,0.293842876010264
108,-53,55,1,0.5819594443402982,11,0.2679801084355197
109,-229,105,1,0.5790496471185967,25,0.27031495022099644
110,-448,150,0,0.5761543988830038,31,0.2025505816175913
111,-97,63,1,0.5732736268885887,15,0.21482752915471792
